,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH
,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI
Geography,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status
  Victoriaville V (2439062) 00000 (  2.3%),8335,280,3400,2535,1500,620,7835,10,250,1725,2195,3655,2265,0,50,180,435,1600,2130,0,0,45,170,1910,1040,0,0,25,75,940
  Warwick V (2439077) 00000 (  2.2%),715,30,310,175,145,55,720,0,25,160,195,330,230,0,0,25,65,135,220,0,0,0,25,180,125,0,0,15,0,100
  Saint-Albert MÉ (2439085) 00000 (  3.0%),145,0,80,40,15,0,250,0,20,60,105,65,105,0,0,0,35,50,100,0,0,0,40,65,50,0,0,0,25,25
  Sainte-Élizabeth-de-Warwick MÉ (2439090) 00000 (  0.0%),30,0,0,0,0,0,40,0,0,0,15,20,0,0,0,0,0,0,40,0,0,0,0,25,0,0,0,0,0,0
  Kingsey Falls V (2439097) 00000 (  1.5%),210,20,100,50,35,0,340,0,45,85,105,95,80,0,0,0,25,45,110,0,0,0,0,100,70,0,0,0,0,60
  Sainte-Séraphine PE (2439105) 00000 (  6.3%),50,0,25,20,0,0,35,0,0,0,0,0,35,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
  Sainte-Clotilde-de-Horton MÉ (2439117) 00000 (  2.5%),205,0,75,55,55,25,265,0,30,75,60,105,75,0,0,0,30,40,55,0,0,0,0,45,40,0,0,0,0,35
  Saint-Samuel MÉ (2439130) 00000 (  1.2%),100,0,60,25,20,0,95,0,0,30,40,35,55,0,0,0,0,40,55,0,0,0,0,45,0,0,0,0,0,0
  Saint-Valère MÉ (2439135) 00000 (  3.1%),115,0,50,35,15,0,210,0,30,45,95,45,65,0,0,0,0,55,65,0,0,0,0,60,30,0,0,0,0,25
  Saint-Rosaire PE (2439145) 00000 (  3.3%),70,0,25,20,0,0,145,0,30,30,50,30,35,0,0,0,0,25,45,0,0,0,0,35,40,0,0,0,0,30
  Daveluyville V (2439152) 00000 (  3.2%),375,20,145,120,70,0,385,0,35,100,100,155,120,0,0,0,15,95,130,0,0,0,20,100,55,0,0,0,0,50
  Maddington Falls MÉ (2439165) 00000 (  0.0%),80,0,40,25,0,0,70,0,0,20,0,40,25,0,0,0,0,25,25,0,0,0,0,20,0,0,0,0,0,0
  Saint-Louis-de-Blandford MÉ (2439170) 00000 (  9.1%),175,0,70,40,50,0,190,0,0,50,35,95,40,0,0,0,20,0,45,0,0,0,0,30,35,0,0,0,0,30
  Ham-Sud MÉ (2440005) 00919 ( 11.1%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Saint-Adrien MÉ (2440010) 00000 (  6.8%),40,0,30,0,0,0,105,0,0,20,35,35,0,0,0,0,0,0,30,0,0,0,10,20,25,0,0,0,0,10
  Wotton MÉ (2440017) 00000 (  3.9%),160,0,50,50,50,0,235,0,20,45,60,110,60,0,0,0,15,45,25,0,0,0,0,20,30,0,0,0,0,20
  Saint-Camille CT (2440025) 00000 (  3.8%),70,0,40,0,0,0,70,0,0,20,20,30,40,0,0,0,0,35,25,0,0,0,0,15,0,0,0,0,0,0
  Saint-Georges-de-Windsor MÉ (2440032) 00000 (  2.0%),70,0,30,30,0,0,180,0,25,45,50,60,35,0,0,0,0,25,55,0,0,0,20,35,0,0,0,0,0,0
  Val-des-Sources V (2440043) 00000 (  6.8%),1475,0,575,400,280,205,1265,0,30,180,400,645,305,0,0,15,60,225,230,0,0,0,0,215,145,0,0,0,0,145
  Danville V (2440047) 00000 (  2.3%),620,0,280,180,85,65,670,0,20,150,170,325,175,0,0,0,35,130,165,0,0,0,0,140,100,0,0,0,0,100
  Saint-Isidore-de-Clifton MÉ (2441012) 00000 (  1.3%),110,0,50,25,0,0,135,0,0,25,30,75,25,0,0,0,0,20,0,0,0,0,0,0,15,0,0,0,0,15
  Chartierville MÉ (2441020) 00000 (  6.7%),55,0,20,0,0,0,80,0,0,20,25,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  La Patrie MÉ (2441027) 00000 (  4.6%),130,0,50,30,20,35,150,0,0,50,50,50,20,0,0,0,0,20,15,0,0,0,0,0,40,0,0,0,0,30
  Newport MÉ (2441037) 00000 (  7.9%),95,0,50,0,30,0,75,0,0,40,15,20,45,0,0,0,0,30,20,0,0,0,0,15,25,0,0,0,0,20
  Cookshire-Eaton V (2441038) 00000 (  1.3%),600,15,280,175,85,45,770,0,90,195,240,235,260,0,0,20,70,160,285,0,0,0,45,230,165,0,0,0,0,155
  Ascot Corner MÉ (2441055) 00000 (  1.5%),285,30,140,70,50,0,495,0,70,145,135,140,180,0,0,20,60,95,210,0,0,20,40,150,120,0,0,0,25,90
  East Angus V (2441060) 00000 (  1.5%),550,20,250,105,95,75,605,0,20,190,185,210,230,0,0,30,55,140,165,0,0,0,25,140,95,0,0,0,0,80
  Westbury CT (2441065) 00000 (  0.2%),105,0,45,30,25,0,150,0,15,45,30,60,60,0,0,0,15,45,50,0,0,0,0,50,40,0,0,0,0,35
  Bury MÉ (2441070) 00000 (  3.2%),135,0,80,35,0,0,220,0,15,60,65,85,50,0,0,0,0,30,35,0,0,0,0,35,55,0,0,0,0,40
  Hampden CT (2441075) 00919 ( 14.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Scotstown V (2441080) 00000 (  3.3%),75,0,30,30,0,0,115,0,0,15,45,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Lingwick CT (2441085) 00000 (  7.8%),80,0,35,20,25,0,60,0,0,15,0,25,20,0,0,0,0,20,25,0,0,0,0,25,0,0,0,0,0,0
  Weedon MÉ (2441098) 00000 (  3.6%),450,0,180,130,95,35,540,0,0,115,150,270,85,0,0,0,15,65,75,0,0,0,10,60,65,0,0,0,0,60
  Dudswell MÉ (2441117) 00000 (  4.9%),245,20,115,75,25,0,320,0,30,50,125,115,80,0,0,0,25,50,95,0,0,0,15,65,25,0,0,0,0,20
  Stoke MÉ (2442005) 00000 (  4.6%),265,35,110,70,40,0,485,0,50,125,150,165,150,0,0,25,30,90,190,0,0,0,40,135,95,0,0,0,25,70
  Saint-François-Xavier-de-Brompton MÉ (2442020) 00000 (  1.6%),250,25,120,75,25,0,420,0,25,120,130,130,115,0,0,10,50,45,150,0,0,0,30,115,65,0,0,0,0,50
  Saint-Denis-de-Brompton MÉ (2442025) 00000 (  3.6%),425,40,225,85,30,40,720,0,75,180,230,230,270,0,20,55,70,125,255,0,0,10,45,200,160,0,0,0,40,110
  Racine MÉ (2442032) 00000 (  3.5%),135,0,55,40,35,0,270,0,30,70,80,95,55,0,0,0,25,25,80,0,0,0,15,65,20,0,0,0,0,0
  Bonsecours MÉ (2442040) 00000 (  2.7%),90,0,40,30,10,0,105,0,0,40,15,50,30,0,0,0,0,25,30,0,0,0,0,25,0,0,0,0,0,0
  Lawrenceville VL (2442045) 00000 (  0.0%),90,0,25,40,15,0,110,0,0,20,45,40,40,0,0,0,0,25,25,0,0,0,0,20,0,0,0,0,0,0
  Sainte-Anne-de-la-Rochelle MÉ (2442050) 00000 (  1.6%),55,0,25,25,0,0,95,0,0,20,40,25,0,0,0,0,0,0,45,0,0,0,0,35,30,0,0,0,0,25
  Valcourt V (2442055) 00000 (  1.5%),465,35,180,110,105,45,335,0,20,45,90,180,105,0,0,0,0,85,85,0,0,0,0,80,45,0,0,0,0,45
  Valcourt CT (2442060) 00000 (  0.8%),125,0,40,40,25,0,190,0,0,55,70,55,45,0,0,0,25,15,60,0,0,0,0,60,0,0,0,0,0,0
  Maricourt MÉ (2442065) 00000 (  2.4%),50,0,35,0,0,0,80,0,0,20,30,25,25,0,0,0,0,15,20,0,0,0,0,15,0,0,0,0,0,0
  Kingsbury VL (2442070) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Melbourne CT (2442075) 00000 (  5.6%),85,0,20,40,20,0,195,0,0,70,60,60,45,0,0,0,0,30,25,0,0,0,0,25,30,0,0,0,0,25
  Ulverton MÉ (2442078) 00000 (  5.4%),45,0,15,10,0,0,75,0,0,0,25,25,25,0,0,0,0,0,20,0,0,0,0,20,20,0,0,0,0,0
  Windsor V (2442088) 00000 (  2.9%),855,30,340,235,180,70,865,0,30,200,270,360,275,0,0,25,65,180,235,0,0,0,0,210,130,0,0,0,0,105
  Val-Joli MÉ (2442095) 00000 (  0.6%),195,0,65,75,35,0,255,0,35,50,75,95,75,0,0,15,0,50,105,0,0,0,0,85,45,0,0,0,0,25
  Richmond V (2442098) 00000 (  3.8%),680,25,230,210,150,70,550,0,0,110,155,265,140,0,0,0,20,115,130,0,0,0,0,120,75,0,0,0,0,70
  Saint-Claude MÉ (2442100) 00000 (  4.8%),105,0,50,25,20,0,225,0,40,35,70,80,65,0,0,25,15,20,35,0,0,0,0,30,40,0,0,0,0,40
  Cleveland CT (2442110) 00000 (  4.2%),150,0,70,40,30,0,215,0,25,90,45,55,80,0,0,0,20,55,55,0,0,0,0,45,55,0,0,0,0,40
  Sherbrooke V (2443027) 00000 (  3.8%),31255,1145,12360,9150,5555,3045,27490,60,1200,5805,7440,12980,8685,25,215,625,1850,5970,7600,0,70,225,655,6630,4145,0,0,95,385,3650
  Saint-Malo MÉ (2444003) 00000 (  8.9%),55,0,20,0,0,0,90,0,0,0,25,45,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0
  Saint-Venant-de-Paquette MÉ (2444005) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  East Hereford MÉ (2444010) 00000 (  0.0%),30,0,0,0,0,0,40,0,0,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Saint-Herménégilde MÉ (2444015) 01010 ( 15.6%),65,0,40,0,0,0,140,0,0,35,40,45,30,0,0,0,0,0,25,0,0,0,0,0,40,0,0,0,0,25
  Dixville MÉ (2444023) 00000 (  1.5%),55,0,25,20,0,0,80,0,15,15,25,25,35,0,0,0,0,20,40,0,0,0,20,20,25,0,0,0,15,0
  Coaticook V (2444037) 00000 (  2.1%),1425,40,620,440,245,85,1475,0,45,300,490,635,435,0,0,30,100,300,340,0,0,0,25,305,240,0,0,0,0,230
  Barnston-Ouest MÉ (2444045) 00000 (  3.6%),55,0,35,0,0,0,85,0,0,25,25,25,0,0,0,0,0,0,30,0,0,0,0,25,15,0,0,0,0,15
  Stanstead-Est MÉ (2444050) 00000 (  7.7%),35,0,15,0,0,0,95,0,0,20,25,35,40,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
  Sainte-Edwidge-de-Clifton CT (2444055) 00000 (  0.0%),55,0,30,0,0,0,60,0,0,0,20,25,20,0,0,0,0,0,20,0,0,0,0,15,25,0,0,0,0,0
  Martinville MÉ (2444060) 00000 (  2.2%),60,0,35,0,0,0,55,0,0,0,20,20,15,0,0,0,0,15,15,0,0,0,0,15,20,0,0,0,0,20
  Compton MÉ (2444071) 00000 (  1.8%),310,0,145,95,50,0,475,0,50,135,145,145,135,0,0,0,30,100,165,0,0,0,20,145,115,0,0,0,20,90
  Waterville V (2444080) 00000 (  1.4%),230,0,100,90,15,0,315,0,20,75,125,95,130,0,0,20,30,75,140,0,0,0,30,95,80,0,0,0,0,60
  Stanstead V (2445008) 00000 (  3.9%),470,0,180,130,80,60,435,0,0,115,105,200,130,0,0,0,0,100,130,0,0,0,0,115,90,0,0,0,0,80
  Ogden MÉ (2445020) 00010 ( 10.1%),120,0,40,45,25,0,125,0,0,35,30,55,25,0,0,0,0,20,30,0,0,0,0,25,20,0,0,0,0,20
  Stanstead CT (2445025) 00000 (  6.2%),120,0,45,0,25,25,285,0,50,40,75,115,80,0,0,30,25,30,40,0,0,0,0,30,0,0,0,0,0,0
  Potton CT (2445030) 01010 ( 14.2%),345,0,145,70,60,65,495,0,45,115,115,215,80,0,0,0,0,55,45,0,0,0,0,30,35,0,0,0,0,35
  Ayer's Cliff VL (2445035) 00000 (  3.1%),200,0,85,55,25,35,210,0,0,35,70,100,55,0,0,0,20,20,60,0,0,0,0,55,30,0,0,0,0,30
  Hatley MÉ (2445043) 00000 (  5.2%),75,0,25,25,0,20,160,0,15,40,40,60,0,0,0,0,0,0,20,0,0,0,15,0,30,0,0,0,0,30
  North Hatley VL (2445050) 00000 (  5.9%),115,0,35,35,25,0,140,0,0,25,25,75,30,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,10
  Hatley CT (2445055) 00000 (  2.3%),175,25,55,40,30,25,380,0,55,95,120,110,135,0,30,0,35,60,125,0,0,0,25,85,65,0,0,0,0,50
  Sainte-Catherine-de-Hatley MÉ (2445060) 00000 (  3.7%),270,0,105,95,40,25,525,0,60,110,170,185,140,0,0,15,30,90,135,0,0,0,30,90,75,0,0,0,15,55
  Magog V (2445072) 00000 (  3.7%),5140,150,2180,1495,810,510,5280,0,175,1090,1390,2630,1295,0,15,110,220,950,1035,0,0,0,110,910,540,0,0,0,15,515
  Saint-Benoît-du-Lac MÉ (2445080) 01999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Austin MÉ (2445085) 00000 (  9.2%),225,0,75,55,50,35,485,0,50,75,140,215,50,0,0,15,0,20,70,0,0,0,10,45,20,0,0,0,0,20
  Eastman MÉ (2445093) 00000 (  8.1%),325,35,130,90,30,40,515,0,50,80,155,220,130,0,0,20,40,65,85,0,0,0,20,55,35,0,0,0,0,25
  Bolton-Est MÉ (2445095) 00000 (  9.7%),170,0,65,35,40,30,260,0,0,65,65,120,60,0,0,0,0,25,40,0,0,0,0,35,15,0,0,0,0,15
  Saint-Étienne-de-Bolton MÉ (2445100) 00020 ( 23.8%),135,0,70,35,25,0,220,0,25,25,70,105,35,0,0,0,0,25,20,0,0,0,0,20,0,0,0,0,0,0
  Stukely-Sud VL (2445105) 00000 (  7.7%),130,0,35,60,0,0,245,0,25,55,70,95,55,0,0,0,0,35,40,0,0,0,0,25,25,0,0,0,0,25
  Orford CT (2445115) 00000 (  5.2%),620,55,240,180,95,50,960,0,105,210,275,365,240,0,0,30,55,155,280,0,0,0,50,220,105,0,0,0,20,85
  Abercorn VL (2446005) 00000 (  4.3%),95,0,45,35,0,0,85,0,0,0,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Frelighsburg MÉ (2446010) 00000 (  7.8%),140,0,80,20,25,0,215,0,0,35,105,70,45,0,0,0,15,20,55,0,0,0,0,50,0,0,0,0,0,0
  Saint-Armand MÉ (2446017) 00000 (  4.9%),190,0,75,45,35,30,225,0,0,60,70,90,75,0,0,0,0,50,35,0,0,0,0,30,25,0,0,0,0,20
  Pike River MÉ (2446025) 00000 (  3.5%),65,0,30,0,0,0,95,0,0,25,20,45,20,0,0,0,0,20,0,0,0,0,0,0,15,0,0,0,0,15
  Stanbridge Station MÉ (2446030) 00000 (  3.2%),35,0,0,15,0,0,50,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Bedford V (2446035) 00000 (  3.3%),490,15,220,140,85,25,460,0,30,70,135,225,120,0,0,0,20,95,95,0,0,0,0,90,50,0,0,0,0,50
  Bedford CT (2446040) 00000 (  1.5%),65,0,20,30,0,0,110,0,0,25,30,40,35,0,0,0,0,15,35,0,0,0,25,0,15,0,0,0,0,0
  Stanbridge East MÉ (2446045) 00000 (  1.1%),95,0,45,25,20,0,140,0,0,40,45,35,40,0,0,0,0,25,55,0,0,0,0,45,0,0,0,0,0,0
  Dunham V (2446050) 00000 (  3.9%),380,15,130,130,55,40,650,0,60,165,180,250,145,0,0,15,40,90,145,0,0,0,40,105,115,0,0,0,25,80
  Sutton V (2446058) 01010 ( 11.4%),975,20,385,235,180,155,965,0,0,185,205,555,190,0,0,30,35,115,165,0,0,0,30,125,45,0,0,0,0,45
  Bolton-Ouest MÉ (2446065) 00000 (  5.6%),75,0,20,20,25,0,210,0,30,45,50,90,30,0,0,0,0,15,25,0,0,0,0,20,0,0,0,0,0,0
  Brome VL (2446070) 00000 (  5.6%),20,0,20,0,0,0,70,0,0,25,20,25,15,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
  Lac-Brome V (2446075) 00000 (  5.0%),965,35,370,305,120,140,1170,0,115,210,260,575,275,0,0,45,50,175,220,0,0,25,35,165,110,0,0,0,20,75
  Bromont V (2446078) 00000 (  5.4%),1465,65,590,405,245,155,2080,0,215,415,560,880,535,0,0,95,140,295,620,0,0,55,80,475,255,0,0,0,40,205
  Cowansville V (2446080) 00000 (  3.7%),2670,95,1050,765,515,245,2510,0,60,520,665,1265,745,0,35,55,115,535,605,0,0,35,60,505,330,0,0,0,25,290
  East Farnham MÉ (2446085) 00000 (  1.4%),85,0,35,0,25,0,115,0,0,25,40,35,30,0,0,0,0,0,30,0,0,0,0,30,25,0,0,0,0,25
  Brigham MÉ (2446090) 00000 (  2.6%),195,0,85,65,30,0,410,0,30,120,125,135,145,0,0,15,35,90,95,0,0,0,20,70,60,0,0,0,0,50
  Saint-Ignace-de-Stanbridge MÉ (2446095) 00000 (  0.0%),40,0,15,15,0,0,95,0,0,40,35,0,25,0,0,0,0,20,20,0,0,0,0,15,50,0,0,0,15,25
  Notre-Dame-de-Stanbridge MÉ (2446100) 00000 (  4.3%),100,0,50,20,30,0,80,0,0,20,20,35,25,0,0,0,0,15,25,0,0,0,0,15,15,0,0,0,0,15
  Sainte-Sabine MÉ (2446105) 00000 (  1.0%),85,0,45,0,15,0,160,0,30,35,55,35,60,0,0,0,15,40,55,0,0,0,15,35,35,0,0,0,0,25
  Farnham V (2446112) 00000 (  2.9%),1450,60,630,430,255,85,1620,0,60,390,500,670,580,0,20,60,155,345,460,0,0,30,60,360,260,0,0,0,0,230
  Saint-Alphonse-de-Granby MÉ (2447010) 00000 (  1.6%),185,0,70,60,40,0,505,0,60,145,175,120,200,0,0,25,85,80,225,0,0,25,55,150,90,0,0,0,25,60
  Granby V (2447017) 00000 (  3.1%),11965,335,4810,3660,2255,905,11605,0,355,2400,3305,5530,3395,0,75,240,725,2350,2845,0,20,95,300,2430,1665,0,0,25,155,1485
  Waterloo V (2447025) 00000 (  3.2%),915,40,430,210,145,80,720,0,15,170,185,345,235,0,0,40,30,165,195,0,0,0,0,180,170,0,0,0,15,145
  Warden VL (2447030) 00000 (  2.6%),40,0,20,0,0,0,55,0,0,0,30,0,25,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
  Shefford CT (2447035) 00000 (  2.2%),485,35,210,140,70,35,1365,0,210,420,345,395,395,0,20,65,100,205,385,0,0,40,65,275,225,0,0,0,40,180
  Saint-Joachim-de-Shefford MÉ (2447040) 00000 (  1.4%),100,0,55,25,0,0,220,0,0,50,75,75,65,0,0,0,30,25,75,0,0,0,0,60,60,0,0,0,0,40
  Roxton Pond MÉ (2447047) 00000 (  2.3%),410,0,195,135,35,30,655,0,65,145,205,240,245,0,0,30,75,135,230,0,0,20,70,140,115,0,0,0,25,90
  Sainte-Cécile-de-Milton MÉ (2447055) 00000 (  1.9%),195,0,105,60,0,0,265,0,30,60,100,75,110,0,0,0,45,60,115,0,0,0,35,65,95,0,0,0,35,60
  Béthanie MÉ (2448005) 00000 (  0.0%),30,0,0,15,0,0,50,0,0,0,20,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Roxton Falls VL (2448010) 00000 (  2.6%),220,0,115,55,25,15,210,0,0,65,30,115,70,0,0,0,25,35,70,0,0,0,20,55,35,0,0,0,0,30
  Roxton CT (2448015) 00000 (  1.2%),95,0,50,25,25,0,155,0,0,50,40,60,40,0,0,0,0,30,20,0,0,0,0,0,35,0,0,0,0,25
  Sainte-Christine PE (2448020) 00000 (  1.4%),80,0,35,0,15,0,85,0,0,35,20,25,50,0,0,0,0,30,15,0,0,0,0,15,15,0,0,0,0,0
  Acton Vale V (2448028) 00000 (  3.1%),1285,70,460,380,260,120,1285,0,30,330,310,620,385,0,0,20,80,285,275,0,0,0,20,250,180,0,0,0,25,155
  Upton MÉ (2448038) 00000 (  0.9%),235,0,70,95,35,25,335,0,15,80,100,130,100,0,0,15,35,40,70,0,0,0,0,50,55,0,0,0,0,50
  Saint-Théodore-d'Acton MÉ (2448045) 00000 (  0.0%),130,0,50,60,0,0,205,0,20,80,70,40,115,0,0,20,25,65,80,0,0,0,20,65,40,0,0,0,0,40
  Saint-Nazaire-d'Acton PE (2448050) 00000 (  0.0%),90,0,30,50,0,0,140,0,30,15,50,40,60,0,0,0,25,25,40,0,0,0,0,30,20,0,0,0,0,20
  Saint-Félix-de-Kingsey MÉ (2449005) 00000 (  4.0%),200,20,95,45,40,0,235,0,0,65,70,100,60,0,0,0,15,40,80,0,0,0,0,70,30,0,0,0,0,30
  Durham-Sud MÉ (2449015) 00000 (  1.9%),90,0,40,25,0,0,160,0,20,45,60,35,60,0,0,0,0,45,40,0,0,0,0,40,30,0,0,0,0,20
  Lefebvre MÉ (2449020) 00000 (  3.2%),80,0,20,35,20,0,140,0,0,40,35,65,35,0,0,0,20,15,50,0,0,0,10,35,35,0,0,0,0,25
  L'Avenir MÉ (2449025) 00000 (  1.5%),110,0,70,30,0,0,245,0,35,85,55,75,55,0,0,0,0,35,65,0,0,0,25,40,25,0,0,0,0,25
  Saint-Lucien MÉ (2449030) 00000 (  3.5%),220,0,95,65,35,0,320,0,15,80,80,140,135,0,0,0,50,80,60,0,0,0,0,55,45,0,0,0,0,35
  Wickham MÉ (2449040) 00000 (  2.0%),240,30,125,50,30,0,335,0,70,80,100,85,155,0,0,20,45,90,150,0,0,0,45,100,85,0,0,0,15,65
  Saint-Germain-de-Grantham MÉ (2449048) 00000 (  1.8%),515,15,240,170,70,25,745,0,75,210,220,245,255,0,0,30,70,140,275,0,0,0,45,225,180,0,0,0,0,160
  Drummondville V (2449058) 00000 (  2.6%),14055,575,5695,3930,2700,1155,12905,0,445,2785,3565,6095,4055,0,125,280,825,2810,3465,0,15,100,325,3025,1840,0,0,15,170,1650
  Saint-Cyrille-de-Wendover MÉ (2449070) 00000 (  1.3%),425,0,210,150,40,20,665,0,90,150,215,210,240,0,0,20,85,120,265,0,0,0,80,185,215,0,0,0,25,165
  Notre-Dame-du-Bon-Conseil VL (2449075) 00000 (  2.2%),235,0,95,95,35,0,250,0,30,55,60,110,70,0,0,0,20,35,105,0,0,0,0,95,45,0,0,0,0,45
  Notre-Dame-du-Bon-Conseil PE (2449080) 00000 (  4.3%),95,0,45,0,20,0,175,0,35,35,80,25,45,0,0,0,0,30,50,0,0,0,20,25,15,0,0,0,0,0
  Sainte-Brigitte-des-Saults PE (2449085) 00000 (  2.7%),100,0,40,45,0,0,85,0,0,0,35,35,25,0,0,0,0,0,20,0,0,0,0,20,40,0,0,0,20,0
  Saint-Majorique-de-Grantham PE (2449095) 00000 (  0.2%),110,0,55,30,15,0,180,0,45,40,45,55,50,0,0,0,0,25,100,0,0,0,20,75,55,0,0,0,0,40
  Saint-Edmond-de-Grantham PE (2449100) 00000 (  2.6%),65,0,30,25,0,0,100,0,0,30,40,20,45,0,0,0,15,20,45,0,0,0,15,25,30,0,0,0,0,0
  Saint-Eugène MÉ (2449105) 00000 (  2.3%),160,0,70,60,0,0,165,0,0,45,45,75,35,0,0,0,0,20,60,0,0,0,0,60,30,0,0,0,0,25
  Saint-Guillaume MÉ (2449113) 00000 (  3.1%),220,30,105,45,35,0,230,0,20,55,55,100,65,0,0,0,0,55,70,0,0,0,0,65,40,0,0,0,0,40
  Saint-Bonaventure MÉ (2449125) 00000 (  0.9%),115,0,55,35,30,0,150,0,20,25,35,70,45,0,0,0,0,30,50,0,0,0,20,25,40,0,0,0,0,35
  Saint-Pie-de-Guire PE (2449130) 00000 (  0.0%),55,0,20,25,0,0,55,0,0,10,0,20,40,0,0,0,0,20,0,0,0,0,0,0,25,0,0,0,0,20
  Sainte-Eulalie MÉ (2450005) 00000 (  5.1%),115,0,65,25,15,0,130,0,0,30,25,75,50,0,0,0,20,25,65,0,0,0,20,40,30,0,0,0,0,20
  Aston-Jonction MÉ (2450013) 00000 (  0.0%),55,0,25,0,0,0,45,0,0,0,25,0,30,0,0,0,0,20,20,0,0,0,0,0,20,0,0,0,0,0
  Saint-Wenceslas MÉ (2450023) 00000 (  1.6%),75,0,20,30,25,0,245,0,15,110,60,65,60,0,0,0,20,30,60,0,0,0,0,50,30,0,0,0,0,20
  Saint-Célestin VL (2450030) 00000 (  0.0%),125,0,65,35,15,0,135,0,0,35,35,65,35,0,0,0,0,25,50,0,0,0,0,40,25,0,0,0,0,25
  Saint-Célestin MÉ (2450035) 00000 (  0.0%),65,0,15,30,0,0,90,0,0,20,30,45,35,0,0,0,0,30,25,0,0,0,0,20,0,0,0,0,0,0
  Saint-Léonard-d'Aston MÉ (2450042) 00000 (  3.0%),370,0,155,115,75,0,380,0,25,85,115,160,140,0,0,0,50,70,120,0,0,0,0,110,70,0,0,0,15,60
  Sainte-Perpétue PE (2450050) 00000 (  0.0%),120,15,45,20,35,0,150,0,0,50,40,40,25,0,0,0,0,25,40,0,0,0,0,40,25,0,0,0,0,25
