,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing
Val-des-Monts MÉ (2482015) 00000 (  5.0%),15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,540,515,70,65,45,25,180,175,40,180,180,0,85,85,0,30,30,0
Cantley MÉ (2482020) 00000 (  3.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,320,65,70,65,45,110,110,0,70,70,0,45,45,0,35,35,0
Chelsea MÉ (2482025) 00000 (  4.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,190,30,25,25,20,60,60,0,90,90,0,0,0,0,0,0,0
Pontiac MÉ (2482030) 00000 (  4.2%),30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,240,50,35,25,20,80,80,30,40,40,0,50,50,0,45,45,0
La Pêche MÉ (2482035) 00001 (  8.8%),40,40,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,470,450,145,60,45,35,160,160,105,125,125,0,60,60,0,55,55,0
Denholm MÉ (2483005) 00011 ( 11.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Low CT (2483010) 00000 (  6.1%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,70,0,0,0,0,0,0,0,25,25,0,0,0,0,20,20,0
Kazabazua MÉ (2483015) 00000 (  9.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,50,25,0,0,0,25,25,25,15,15,0,0,0,0,0,0,0
Lac-Sainte-Marie MÉ (2483020) 00010 ( 11.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,20,20,0,15,15,0,0,0,0,0,0,0
Gracefield V (2483032) 00010 ( 11.2%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,225,115,0,0,0,100,100,80,40,40,0,60,60,0,15,15,0
Cayamant MÉ (2483040) 00011 ( 16.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,35,0,0,0,35,35,30,20,20,0,0,0,0,0,0,0
Blue Sea MÉ (2483045) 00011 ( 18.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouchette MÉ (2483050) 00010 ( 11.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sainte-Thérèse-de-la-Gatineau MÉ (2483055) 00011 ( 13.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Messines MÉ (2483060) 00010 ( 12.0%),50,50,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0,0,15,15,0,20,20,0,40,40,0,0,0,0
Maniwaki V (2483065) 00000 (  7.1%),210,200,40,0,0,0,115,110,25,60,60,0,0,0,0,0,0,0,775,745,190,35,0,0,190,180,155,185,185,25,190,190,0,185,185,0
Déléage MÉ (2483070) 00000 (  7.8%),40,40,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,150,145,50,20,0,0,60,60,30,15,15,0,30,30,0,20,20,0
Egan-Sud MÉ (2483075) 00000 (  2.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bois-Franc MÉ (2483085) 00000 (  3.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montcerf-Lytton MÉ (2483088) 00010 ( 12.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
Aumond CT (2483090) 00001 (  6.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
Grand-Remous MÉ (2483095) 00000 (  9.1%),35,35,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,70,70,20,0,0,0,15,15,0,30,30,0,0,0,0,0,0,0
Bristol MÉ (2484005) 00000 (  7.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,20,0,0,0,0,0,0,20,20,0,20,20,0,15,15,0
Shawville MÉ (2484010) 00000 (  7.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,215,90,0,0,0,70,70,55,50,50,25,55,55,0,30,30,0
Clarendon MÉ (2484015) 00011 ( 13.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,20,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
Bryson MÉ (2484025) 01112 ( 19.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,20,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0
Campbell's Bay MÉ (2484030) 00011 ( 12.2%),30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,75,75,30,0,0,0,25,25,25,20,20,0,0,0,0,0,0,0
L'Île-du-Grand-Calumet MÉ (2484035) 00010 ( 10.7%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Litchfield MÉ (2484040) 00000 (  7.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thorne MÉ (2484045) 00011 ( 10.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otter Lake MÉ (2484055) 00001 (  9.0%),25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,30,0,0,0,0,0,0,25,25,0,0,0,0,15,15,0
Fort-Coulonge VL (2484060) 00011 ( 12.3%),70,70,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,145,140,50,0,0,0,65,60,30,0,0,0,15,15,0,40,40,0
Mansfield-et-Pontefract MÉ (2484065) 00000 (  9.7%),35,35,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,120,115,35,25,20,20,20,20,0,40,40,0,20,20,0,20,20,0
Waltham MÉ (2484070) 00011 ( 11.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Isle-aux-Allumettes MÉ (2484082) 00001 (  9.7%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,60,15,0,0,0,0,0,0,20,20,0,20,20,0,15,15,0
Chichester CT (2484090) 00000 (  8.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Témiscaming V (2485005) 00000 (  3.9%),85,85,15,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,220,215,50,15,0,0,55,55,25,50,50,0,55,55,0,35,35,0
Kipawa MÉ (2485010) 00000 (  2.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Édouard-de-Fabre PE (2485015) 00000 (  7.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
Béarn MÉ (2485020) 00010 ( 11.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,30,0,0,0,25,25,0,20,20,0,0,0,0,0,0,0
Ville-Marie V (2485025) 00000 (  8.7%),70,70,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,430,430,50,0,0,0,145,145,45,85,85,0,115,115,0,85,85,0
Duhamel-Ouest MÉ (2485030) 00000 (  6.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorrainville MÉ (2485037) 00000 (  8.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,25,0,0,0,45,45,25,45,45,0,30,30,0,20,20,0
Saint-Bruno-de-Guigues MÉ (2485045) 00000 (  7.1%),20,20,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,20,20,0,30,30,0,0,0,0
Laverlochère MÉ (2485050) 00000 (  6.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,25,0,0,0,30,30,20,0,0,0,0,0,0,0,0,0
Fugèreville MÉ (2485055) 00011 ( 15.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latulipe-et-Gaboury CU (2485060) 00000 (  7.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belleterre V (2485065) 00000 (  6.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,40,20,0,0,0,20,15,15,0,0,0,0,0,0,0,0,0
Angliers VL (2485080) 00000 (  7.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Eugène-de-Guigues MÉ (2485085) 00000 (  5.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notre-Dame-du-Nord MÉ (2485090) 00000 (  5.0%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,130,55,0,0,0,35,35,15,30,30,0,30,30,10,30,30,0
Guérin CT (2485095) 00000 (  7.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nédélec CT (2485100) 00000 (  6.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rémigny MÉ (2485105) 00000 (  1.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rouyn-Noranda V (2486042) 00000 (  6.0%),500,480,60,105,100,45,320,305,0,55,55,0,15,15,0,0,0,0,6385,6160,740,665,450,395,1965,1955,345,1760,1760,0,1100,1100,0,895,895,0
Duparquet V (2487005) 00000 (  6.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rapide-Danseur MÉ (2487010) 00000 (  7.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roquemaure MÉ (2487015) 00000 (  3.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
Gallichan MÉ (2487020) 00000 (  6.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmarolle MÉ (2487025) 00000 (  4.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,95,15,0,0,0,40,40,15,0,0,0,20,20,0,25,25,0
Sainte-Germaine-Boulé MÉ (2487030) 00000 (  6.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0
Poularies MÉ (2487035) 00000 (  5.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0
Taschereau MÉ (2487042) 00000 (  4.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,10,10,0,0,0,0,25,25,0,30,30,0
Authier MÉ (2487050) 00000 (  3.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macamic V (2487058) 00000 (  3.3%),30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,205,25,0,0,0,90,90,20,60,60,0,30,30,0,20,20,0
Sainte-Hélène-de-Mancebourg PE (2487070) 00000 (  6.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerval MÉ (2487075) 00000 (  3.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Reine MÉ (2487080) 00000 (  5.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dupuy MÉ (2487085) 00000 (  2.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
La Sarre V (2487090) 00000 (  4.3%),95,95,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,1140,1120,155,70,55,50,465,460,105,290,290,0,195,195,0,120,120,0
Chazel MÉ (2487095) 00000 (  0.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Authier-Nord MÉ (2487100) 00000 (  6.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clermont CT (2487110) 00000 (  4.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Normétal MÉ (2487115) 00010 ( 10.6%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,0,0,0,35,35,25,0,0,0,20,20,0,0,0,0
Barraute MÉ (2488022) 00000 (  9.2%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,230,25,0,0,0,100,95,25,50,50,0,35,35,0,40,40,0
La Corne MÉ (2488030) 00000 (  5.7%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landrienne CT (2488035) 00000 (  5.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Marc-de-Figuery PE (2488040) 00000 (  6.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
La Motte MÉ (2488045) 00000 (  9.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Mathieu-d'Harricana MÉ (2488050) 00000 (  6.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amos V (2488055) 00000 (  5.8%),165,165,20,0,0,0,120,120,15,30,30,0,0,0,0,0,0,0,2050,2000,245,105,55,50,625,625,190,540,540,0,390,385,0,395,395,0
Saint-Félix-de-Dalquier MÉ (2488060) 00000 (  9.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,15,15,0,0,0,0,25,25,0,0,0,0
Saint-Dominique-du-Rosaire MÉ (2488065) 00000 (  9.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berry MÉ (2488070) 00000 (  6.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
Trécesson CT (2488075) 00000 (  3.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,15,15,0,20,20,0,0,0,0,0,0,0
Sainte-Gertrude-Manneville MÉ (2488085) 00000 (  8.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preissac MÉ (2488090) 00000 (  8.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Val-d'Or V (2489008) 00000 (  4.6%),555,540,40,105,105,35,335,315,0,70,70,0,35,35,0,0,0,0,4795,4670,520,450,335,300,1470,1460,215,1360,1360,0,810,810,0,705,705,0
Rivière-Héva MÉ (2489010) 00000 (  8.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malartic V (2489015) 00000 (  5.2%),105,105,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,520,505,65,45,40,35,130,120,25,115,115,0,110,110,0,115,115,0
Senneterre V (2489040) 00010 ( 10.6%),60,60,0,0,0,0,25,25,0,20,20,0,0,0,0,15,15,0,420,415,65,25,25,25,215,215,45,65,65,0,70,70,0,55,55,0
Senneterre PE (2489045) 00000 (  8.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
La Tuque V (2490012) 00000 (  5.2%),225,220,40,0,0,0,165,155,35,30,30,0,20,20,0,0,0,0,1585,1560,205,95,75,75,550,545,140,365,365,0,305,305,0,265,265,0
La Bostonnais MÉ (2490017) 01100 (  7.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac-Bouchette MÉ (2491005) 00010 ( 11.1%),50,50,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,110,105,40,0,0,0,35,35,20,35,35,0,25,25,0,0,0,0
Saint-André-du-Lac-Saint-Jean VL (2491010) 00000 (  6.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-François-de-Sales MÉ (2491015) 00000 (  5.7%),15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chambord MÉ (2491020) 00000 (  8.9%),30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,40,0,0,0,45,45,20,45,45,0,25,25,0,0,0,0
Roberval V (2491025) 00000 (  5.3%),280,280,50,40,40,20,190,190,30,35,35,0,20,20,0,0,0,0,1280,1270,160,65,55,55,475,475,110,300,300,0,265,265,0,175,175,0
Sainte-Hedwidge MÉ (2491030) 00000 (  7.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0
Saint-Prime MÉ (2491035) 00000 (  4.3%),45,45,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,160,155,0,0,0,0,65,65,0,30,30,0,25,25,0,25,25,0
Saint-Félicien V (2491042) 00000 (  4.3%),225,220,0,30,20,0,150,145,0,25,25,0,15,15,0,0,0,0,1045,1020,80,75,60,40,410,405,40,295,295,0,155,150,0,110,110,0
La Doré PE (2491050) 00000 (  4.1%),45,45,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,35,35,0,20,20,0,0,0,0,20,20,0
Saint-Augustin PE (2492005) 00000 (  9.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Péribonka MÉ (2492010) 00011 ( 13.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sainte-Jeanne-d'Arc VL (2492015) 00000 (  4.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
Dolbeau-Mistassini V (2492022) 00000 (  3.5%),380,375,20,55,55,15,235,230,0,65,65,0,15,15,0,0,0,0,1695,1665,135,105,80,70,635,635,65,420,420,0,305,305,0,230,230,0
Albanel MÉ (2492030) 00000 (  4.0%),25,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,40,40,0,35,35,0,15,15,0,0,0,0
Normandin V (2492040) 00000 (  2.8%),50,50,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,285,285,15,0,0,0,90,90,0,95,95,0,65,65,0,35,35,0
Saint-Thomas-Didyme MÉ (2492045) 00000 (  7.4%),20,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
Saint-Edmond-les-Plaines MÉ (2492050) 00000 (  3.8%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Girardville MÉ (2492055) 00011 ( 13.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
Saint-Eugène-d'Argentenay MÉ (2492065) 00000 (  4.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Stanislas MÉ (2492070) 00011 ( 13.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desbiens V (2493005) 00000 (  5.8%),35,35,15,0,0,0,0,0,0,30,20,0,0,0,0,0,0,0,100,95,15,0,0,0,0,0,0,30,30,0,30,30,0,25,25,0
Métabetchouan--Lac-à-la-Croix V (2493012) 00000 (  4.9%),70,70,20,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,400,400,20,0,0,0,110,110,0,115,115,0,105,105,0,55,55,0
Hébertville MÉ (2493020) 00000 (  4.1%),25,25,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,210,210,0,0,0,0,60,60,0,80,80,0,40,40,0,20,20,0
Hébertville-Station VL (2493025) 00000 (  5.6%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,0,0,0,0,25,25,0,40,40,0,20,20,0,25,25,0
Saint-Bruno MÉ (2493030) 00000 (  5.5%),25,25,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,275,275,0,15,0,0,100,100,0,75,75,0,45,45,0,30,30,0
Saint-Gédéon MÉ (2493035) 00000 (  2.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,0,0,0,0,65,65,0,35,35,0,25,25,0,0,0,0
Alma V (2493042) 00000 (  4.9%),515,505,70,70,65,0,350,345,65,50,50,0,35,35,0,0,0,0,3920,3870,465,225,175,135,1430,1430,330,1075,1075,0,795,795,0,400,400,0
Saint-Nazaire MÉ (2493045) 00000 (  3.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,0,0,0,0,30,30,0,35,35,0,20,20,0,0,0,0
Labrecque MÉ (2493055) 00000 (  7.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0
Lamarche MÉ (2493060) 00000 (  8.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Ascension-de-Notre-Seigneur PE (2493065) 00000 (  6.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,30,0,0,0,35,35,20,35,35,0,0,0,0,0,0,0
Saint-Henri-de-Taillon MÉ (2493070) 02200 (  5.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sainte-Monique MÉ (2493075) 00010 ( 12.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
Saint-Ludger-de-Milot MÉ (2493080) 00011 ( 12.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saguenay V (2494068) 00000 (  4.4%),3620,3480,690,495,460,250,2370,2275,440,460,455,0,195,195,0,95,95,0,21250,20725,2215,1445,1000,850,6645,6575,1365,6080,6080,0,4270,4270,0,2805,2805,0
Petit-Saguenay MÉ (2494205) 00010 ( 13.1%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,15,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
L'Anse-Saint-Jean MÉ (2494210) 00010 ( 10.5%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,20,0,0,0,45,45,15,0,0,0,0,0,0,0,0,0
Rivière-Éternité MÉ (2494215) 00000 (  9.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferland-et-Boilleau MÉ (2494220) 00000 (  7.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Félix-d'Otis MÉ (2494225) 00011 ( 15.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
Sainte-Rose-du-Nord PE (2494230) 00000 (  0.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Fulgence MÉ (2494235) 00000 (  5.8%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,0,0,0,0,35,35,0,45,45,0,35,35,0,15,15,0
Saint-Honoré MÉ (2494240) 00000 (  2.5%),55,55,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,310,305,30,20,15,15,110,110,0,85,85,0,50,50,0,35,35,0
